,end_of_month,notes_coins_circulation,exrate_hkd_usd,hibor_fixing_overnight,hibor_fixing_3m
14,2021-07-01,589211,7.773,0.04613,0.14875
13,2021-08-01,588865,7.783,0.0381,0.15149
12,2021-09-01,592153,7.789,0.03929,0.14
11,2021-10-01,590884,7.779,0.04196,0.15375
10,2021-11-01,594032,7.802,0.06179,0.23512
9,2021-12-01,606030,7.798,0.05566,0.25875
8,2022-01-01,635040,7.798,0.13929,0.33042
7,2022-02-01,623192,7.814,0.11036,0.43792
6,2022-03-01,621073,7.831,0.08696,0.55476
5,2022-04-01,626925,7.847,0.05583,0.72875
4,2022-05-01,619271,7.849,0.09554,0.89738
3,2022-06-01,626793,7.847,1.43476,1.75226
2,2022-07-01,623918,7.851,0.93774,2.2
1,2022-08-01,616671,7.848,1.18619,2.6528
0,2022-09-01,618252,7.851,2.26196,3.33327
