,end_of_day,usd,gbp,jpy,cad,aud,sgd,twd,chf,cny,krw,thb,myr,dem,nlg,bef,frf,itl,eur,php,inr,idr,zar,special_drawing_rights,neeri_1983_trade_wgt,neeri_1983_import_wgt,neeri_1983_export_wgt,neeri_2000_trade_wgt,neeri_2000_import_wgt,neeri_2000_export_wgt,neeri_2010_trade_wgt,neeri_2010_import_wgt,neeri_2010_export_wgt,neeri_2020_trade_wgt,neeri_2020_import_wgt,neeri_2020_export_wgt
99,2022-06-02,7.847,9.825,0.060425,6.199,5.634,5.7075,0.2682,8.191,1.1745,0.006274,0.22835,1.78565,,,,,,8.3795,0.1495,0.1015,0.0005409,0.5065,10.57799141,,,,,,,,,,99.0,99.6,98.3
98,2022-06-04,7.846,9.807,0.05998,6.232,5.657,5.702,0.2682,8.1555,1.17845,0.006273,0.2293,1.78745,,,,,,8.4145,0.1495,0.101,0.0005434,0.505,,,,,,,,,,,98.9,99.5,98.1
97,2022-06-06,7.847,9.837,0.060095,6.2395,5.656,5.712,0.2672,8.1625,1.17875,0.006262,0.2286,1.7876,,,,,,8.4215,0.1475,0.1015,0.0005427,0.5075,10.59070355,,,,,,,,,,98.8,99.5,98.1
96,2022-06-07,7.847,9.783,0.05908,6.2265,5.644,5.698,0.2672,8.058,1.17595,0.00624,0.22775,1.78465,,,,,,8.3885,0.1485,0.1015,0.0005425,0.5065,10.55241019,,,,,,,,,,99.1,99.8,98.3
95,2022-06-08,7.848,9.861,0.05885,6.2555,5.647,5.71,0.2672,8.057,1.17535,0.006251,0.22765,1.7875,,,,,,8.3855,0.1485,0.1015,0.00054165,0.5095,10.55995488,,,,,,,,,,99.1,99.8,98.4
94,2022-06-09,7.85,9.828,0.05862,6.2445,5.633,5.708,0.2672,8.0185,1.174,0.006254,0.2278,1.78565,,,,,,8.4125,0.1485,0.1015,0.0005388,0.5145,10.569083,,,,,,,,,,99.2,99.9,98.4
93,2022-06-10,7.85,9.799,0.05865,6.18,5.589,5.6875,0.2672,8.0295,1.1732,0.006188,0.22715,1.7839,,,,,,8.3455,0.1485,0.1005,0.00053955,0.5085,10.5176655,,,,,,,,,,99.4,100.1,98.6
92,2022-06-11,7.85,9.6675,0.058325,6.145,5.542,5.6555,0.2672,7.946,1.16645,0.006135,0.22645,1.78315,,,,,,8.2585,0.1485,0.1005,0.0005394,0.495,,,,,,,,,,,99.9,100.6,99.1
91,2022-06-13,7.851,9.629,0.058255,6.1205,5.503,5.652,0.2643,7.927,1.16325,0.006104,0.22605,1.7772,,,,,,8.232,0.1485,0.1005,0.0005346,0.489,10.4520363,,,,,,,,,,100.2,100.9,99.4
90,2022-06-14,7.851,9.546,0.058315,6.0945,5.461,5.646,0.2635,7.9035,1.1662,0.006106,0.2251,1.7762,,,,,,8.1995,0.1465,0.1005,0.0005342,0.4905,10.43562771,,,,,,,,,,100.1,100.9,99.3
