,end_of_month,cert_of_indebt,gov_notes_coins_circulation,aggr_balance_bf_disc_win,outstanding_efbn,ow_lb_bf_disc_win,mb_bf_disc_win_total
99,2014-06-01,335195,11174,163909,752769,660885,1263047
98,2014-07-01,329685,11188,221637,752915,672644,1315425
97,2014-08-01,332475,11210,239198,753292,671474,1336175
96,2014-09-01,344165,11248,239229,752936,671618,1347578
95,2014-10-01,336815,11255,239185,753519,674286,1340774
94,2014-11-01,336465,11287,239161,753788,677622,1340701
93,2014-12-01,342165,11345,239183,753363,681121,1346056
92,2015-01-01,340995,11815,239187,754599,679834,1346596
91,2015-02-01,360835,11990,239208,754218,678406,1366251
90,2015-03-01,351105,11754,239200,754426,683179,1356485
89,2015-04-01,350155,11672,310675,754509,687375,1427011
88,2015-05-01,345675,11615,310647,754461,692276,1422398
87,2015-06-01,348495,11598,310706,754245,682141,1425044
86,2015-07-01,344065,11583,310675,754258,692066,1420581
85,2015-08-01,347465,11595,295712,769218,697865,1423990
84,2015-09-01,352105,11616,345941,774733,715532,1484395
83,2015-10-01,348215,11619,424397,794790,734898,1579021
82,2015-11-01,350445,11619,405308,815722,755865,1583094
81,2015-12-01,360165,11661,391343,829615,768455,1592784
80,2016-01-01,376575,12406,363438,857101,793406,1609520
79,2016-02-01,373985,12135,363435,858065,792825,1607620
78,2016-03-01,370885,11979,363390,858320,795179,1604574
77,2016-04-01,369395,11918,343390,878352,813080,1603055
76,2016-05-01,369755,11896,322384,899311,835310,1603346
75,2016-06-01,374605,11890,308411,913994,846184,1608900
74,2016-07-01,371735,11890,280485,942065,869858,1606175
73,2016-08-01,375875,11910,271501,951225,876910,1610511
72,2016-09-01,384695,11925,259517,963479,890865,1619616
71,2016-10-01,383615,11947,259532,963576,887686,1618670
70,2016-11-01,386895,11971,259564,963274,889735,1621704
69,2016-12-01,401805,12247,259593,962410,894088,1636055
68,2017-01-01,434365,12685,259646,963079,889901,1669775
67,2017-02-01,413655,12443,259608,964100,888704,1649806
66,2017-03-01,414255,12316,259519,964997,891580,1651087
65,2017-04-01,416615,12287,259548,965357,895003,1653807
64,2017-05-01,420055,12277,259522,966078,896438,1657932
63,2017-06-01,426245,12273,259521,966121,899145,1664160
62,2017-07-01,427235,12288,259543,966361,896441,1665427
61,2017-08-01,428775,12296,243549,982855,913497,1667475
60,2017-09-01,436145,12325,211565,1014508,945496,1674543
59,2017-10-01,436725,12354,179703,1045952,971890,1674734
58,2017-11-01,437845,12374,179756,1046819,972495,1676794
57,2017-12-01,447985,12441,179790,1047038,967918,1687254
56,2018-01-01,459605,12901,179650,1048656,979902,1700812
55,2018-02-01,475745,12971,179679,1049219,982257,1717614
54,2018-03-01,487885,12788,179731,1049123,981438,1729527
53,2018-04-01,479965,12721,128549,1049311,979879,1670546
52,2018-05-01,471285,12705,109435,1050666,974453,1644091
51,2018-06-01,471565,12697,109451,1051120,978338,1644833
50,2018-07-01,469825,12700,109546,1052903,979584,1644974
49,2018-08-01,468095,12707,76350,1053892,976834,1611044
48,2018-09-01,468905,12737,76394,1054130,974856,1612166
47,2018-10-01,468845,12751,76405,1056741,973202,1614742
46,2018-11-01,469815,12767,76501,1057794,981373,1616877
45,2018-12-01,483845,12845,76398,1059784,980744,1632872
44,2019-01-01,503745,13338,76242,1062784,978247,1656109
43,2019-02-01,493925,13176,76314,1063539,978995,1646954
42,2019-03-01,492935,13039,64753,1064608,977567,1635335
41,2019-04-01,498485,12999,54441,1064531,972115,1630456
40,2019-05-01,490265,12981,54295,1066726,975615,1624267
39,2019-06-01,491605,12977,54268,1066335,973975,1625185
38,2019-07-01,496395,12975,54243,1070232,986372,1633845
37,2019-08-01,499715,12981,54359,1072176,984373,1639231
36,2019-09-01,504105,12984,54272,1073913,984987,1645274
35,2019-10-01,503915,12981,54334,1075695,990533,1646925
34,2019-11-01,505565,12987,54390,1077197,990406,1650139
33,2019-12-01,516605,13254,54288,1078736,995967,1662883
32,2020-01-01,540555,13485,54235,1081109,1003601,1689384
31,2020-02-01,532245,13302,54259,1083927,953170,1683733
30,2020-03-01,527465,13210,54054,1086330,953122,1681059
29,2020-04-01,534335,13179,84713,1077649,950964,1709876
28,2020-05-01,530765,13157,94757,1067477,952511,1706156
27,2020-06-01,536435,13145,131609,1068834,970780,1750023
26,2020-07-01,536855,13146,183356,1069172,1004135,1802529
25,2020-08-01,544585,13134,193067,1069029,1003078,1819815
24,2020-09-01,571525,13138,243531,1069342,964277,1897536
23,2020-10-01,566225,13142,457463,1069203,972839,2106033
22,2020-11-01,571075,13141,457431,1069211,1014838,2110858
21,2020-12-01,559515,13173,457466,1069154,997386,2099308
20,2021-01-01,572445,13494,457463,1069115,1014483,2112517
19,2021-02-01,573635,13461,457463,1068974,1012278,2113533
18,2021-03-01,569095,13349,457462,1068981,1015102,2108887
17,2021-04-01,572875,13282,457459,1069099,1017443,2112715
16,2021-05-01,571765,13251,457435,1069150,1016573,2111601
15,2021-06-01,579345,13221,457459,1069089,1019807,2119114
14,2021-07-01,575995,13216,457456,1069227,1024238,2115894
13,2021-08-01,575665,13200,457494,1069128,1019430,2115487
12,2021-09-01,578965,13188,437459,1089053,1039051,2118665
11,2021-10-01,577705,13179,417460,1108912,1060398,2117256
10,2021-11-01,580865,13167,397456,1128735,1083823,2120223
9,2021-12-01,592645,13385,377516,1148732,1094669,2132278
8,2022-01-01,621565,13475,357496,1168793,1127155,2161329
7,2022-02-01,609815,13377,337552,1188749,1148663,2149493
6,2022-03-01,607755,13318,337551,1188912,1142041,2147536
5,2022-04-01,613645,13280,337532,1188732,1142429,2153189
4,2022-05-01,606035,13236,319972,1189154,1138098,2128397
3,2022-06-01,613605,13188,233493,1188176,1142598,2048462
2,2022-07-01,610765,13153,165158,1188492,1139314,1977568
1,2022-08-01,603545,13126,125024,1188629,1142354,1930324
0,2022-09-01,605125,13127,123336,1189978,1138367,1931566
